tmm,slot_id,client_side_traffic.pkts_in,client_side_traffic.bytes_in,client_side_traffic.pkts_out,client_side_traffic.bytes_out,client_side_traffic.max_conns,client_side_traffic.tot_conns,client_side_traffic.cur_conns,server_side_traffic.pkts_in,server_side_traffic.bytes_in,server_side_traffic.pkts_out,server_side_traffic.bytes_out,server_side_traffic.max_conns,server_side_traffic.tot_conns,server_side_traffic.cur_conns,tot_assist_conn,curr_assist_conn,hardware_syncookies_generated,hardware_syncookies_detected
0,1,18193,3652187,18060,5706119,6,7270,0,18060,5706119,18193,3652187,6,7270,0,7270,0,0,0
1,1,19313,3435154,16811,4934345,7,7177,0,16811,4934345,19313,3435154,7,7173,0,7164,0,0,0
2,1,22123,4701591,21505,6831416,6,8040,0,21505,6831416,22123,4701591,6,8040,0,8040,0,0,0
3,1,23826,5604455,28381,8734920,7,10663,0,28381,8734920,23826,5604455,6,10662,0,10661,0,0,0
4,1,44932,6668642,77448,11472450,8,38581,1,77448,11472450,44932,6668642,8,38579,1,38564,1,0,0
5,1,20768,4511808,24822,7105840,6,10271,2,24822,7105840,20768,4511808,5,10269,2,10264,2,0,0
6,1,19731,3701575,21516,5577518,6,9888,0,21516,5577518,19731,3701575,5,9888,0,9881,0,0,0
7,1,23710,5294330,26359,8129175,6,10174,0,26359,8129175,23710,5294330,5,10173,0,10169,0,0,0
8,1,18572,3972429,23134,6425367,6,10138,0,23134,6425367,18572,3972429,6,10139,0,10131,0,0,0
9,1,22829,4960716,35767,8083765,8,18867,1,35767,8083765,22829,4960716,6,18867,1,18867,1,0,0
10,1,23682,4722506,25209,6908571,6,10943,0,25209,6908571,23682,4722506,6,10944,0,10931,0,0,0
11,1,28813,5875004,40980,9152759,6,16619,2,40980,9152759,28813,5875004,5,16618,2,16618,2,0,0
0,2,304234,37464050,224560,43831797,6,7363,1,224560,43831797,304234,37464050,6,7365,1,7359,1,0,0
1,2,215488,29161993,213278,26893126,7,7624,1,213278,26893126,215488,29161993,6,7624,1,7624,1,0,0
2,2,20573,4159971,21806,6162766,5,9155,0,21806,6162766,20573,4159971,5,9157,0,9147,0,0,0
3,2,23227,5177906,24576,7983609,6,8985,0,24576,7983609,23227,5177906,5,8981,0,8978,0,0,0
4,2,22310,4423655,29683,6726183,6,16038,0,29683,6726183,22310,4423655,5,16037,0,16033,0,0,0
5,2,26345,3294694,31071,4684044,7,15466,1,31071,4684044,26345,3294694,7,15467,1,15466,1,0,0
6,2,32914,5673523,44651,9223084,7,19568,0,44651,9223084,32914,5673523,6,19576,1,19559,1,0,0
7,2,31278,5241736,42282,8414342,7,19287,1,42282,8414342,31278,5241736,6,19285,1,19285,1,0,0
8,2,30989,5646595,45255,9654240,7,20624,2,45255,9654240,30989,5646595,6,20624,0,20624,2,0,0
9,2,24080,5530866,29050,8717374,6,11432,0,29050,8717374,24080,5530866,5,11432,0,11432,0,0,0
10,2,29444,6867416,36745,11114323,7,13997,0,36745,11114323,29444,6867416,6,14001,0,13989,0,0,0
11,2,36190,6774712,49862,10732085,7,21080,1,49862,10732085,36190,6774712,6,21079,1,21079,1,0,0
